"","x"
"1",1.75174916724905
"2",3.45704683163744
"3",4.33442393017318
"4",6.7299637173436
"5",5.16297947156062
"6",4.12546962662799
"7",4.66086425881147
"8",5.66074002724737
"9",4.83824675777817
"10",4.28420198570703
"11",3.80079017934324
"12",4.36358812962762
"13",5.87230176386104
"14",5.90730537678318
"15",5.37948920258446
"16",5.62978876363595
"17",7.58727834303288
"18",6.43653235059299
"19",2.56432953245949
"20",8.57787871450615
"21",5.80794417807271
"22",4.04321049523324
"23",5.56774216590751
"24",5.06293092566346
"25",3.98119901806323
"26",3.65553964456984
"27",5.16561502800433
"28",3.90437018091116
"29",5.72307813250139
"30",6.27662847984789
"31",5.68342451503715
"32",4.03317418441913
"33",5.87349270002097
"34",5.21708488974633
"35",4.14276050314534
"36",5.42985385638637
"37",5.86401885613194
"38",4.03368041260551
"39",5.66746117296766
"40",3.31917506853228
"41",5.66824068526974
"42",5.87886141573987
"43",5.7239027633769
"44",4.17731548886419
"45",7.19019096779536
"46",4.25571431495576
"47",7.27800303181045
"48",4.05736766291148
"49",4.76435303074914
"50",5.49266122101764
"51",7.5139618501921
"52",4.05051102778905
"53",5.0308012469239
"54",5.72827583080235
"55",4.56647797615114
"56",6.39950562130348
"57",5.87596491855341
"58",5.41061840101098
"59",6.22633830746121
"60",4.9117450847235
"61",4.3365078603155
"62",4.82572364126515
"63",6.82606211484221
"64",5.64332805217516
"65",4.08406423920509
"66",6.10362914685607
"67",5.27647610256454
"68",4.84137406417119
"69",5.39153168492848
"70",5.78092805258636
"71",4.88725738756978
"72",5.11777434503536
"73",4.85278128640684
"74",4.18677933075967
"75",4.17710898910628
